date,order_id,client,department,equipment_id,operator_id,product_type,units_produced,defect_count,redo_count,scrap_count,inspection_result,shift,line_id
2024-01-01,ORD-20240001,Titan Works,Painting,EQ-012,OP-014,Type-D,161,10,1,5,Fail,Morning,Line-2
2024-01-01,ORD-20240002,Titan Works,Machining,EQ-005,OP-004,Type-C,94,2,3,0,Pass,Morning,Line-4
2024-01-01,ORD-20240003,Quantum Parts,Assembly,EQ-001,OP-006,Type-B,130,2,2,0,Conditional,Morning,Line-1
2024-01-02,ORD-20240004,Orion Systems,Assembly,EQ-002,OP-019,Type-D,92,2,6,0,Pass,Morning,Line-2
2024-01-02,ORD-20240005,Titan Works,Assembly,EQ-008,OP-006,Type-A,162,3,1,2,Conditional,Afternoon,Line-3
2024-01-02,ORD-20240006,Orion Systems,Assembly,EQ-003,OP-002,Type-C,128,5,0,0,Pass,Morning,Line-2
2024-01-04,ORD-20240007,Pacific Components,Assembly,EQ-010,OP-018,Type-A,149,2,6,1,Pass,Night,Line-4
2024-01-04,ORD-20240008,Titan Works,Welding,EQ-003,OP-013,Type-D,191,9,0,0,Fail,Afternoon,Line-3
2024-01-05,ORD-20240009,Delta Industries,Machining,EQ-008,OP-009,Type-C,135,3,2,0,Pass,Morning,Line-1
2024-01-05,ORD-20240010,Orion Systems,Painting,EQ-008,OP-023,Type-D,155,8,0,2,Fail,Night,Line-3
2024-01-05,ORD-20240011,Orion Systems,Painting,EQ-002,OP-019,Type-A,130,5,4,1,Conditional,Afternoon,Line-1
2024-01-08,ORD-20240012,Delta Industries,Painting,EQ-008,OP-013,Type-C,116,7,1,1,Fail,Night,Line-1
2024-01-09,ORD-20240013,Titan Works,Painting,EQ-011,OP-011,Type-A,96,15,1,5,Conditional,Morning,Line-2
2024-01-11,ORD-20240016,Delta Industries,Machining,EQ-008,OP-022,Type-A,169,2,1,1,Pass,Morning,Line-4
2024-01-11,ORD-20240015,Orion Systems,Quality Control,EQ-006,OP-024,Type-D,166,2,0,1,Pass,Morning,Line-2
2024-01-11,ORD-20240014,Delta Industries,Welding,EQ-001,OP-001,Type-D,137,7,2,0,Conditional,Morning,Line-2
2024-01-12,ORD-20240017,Orion Systems,Assembly,EQ-003,OP-007,Type-C,108,3,3,0,Pass,Afternoon,Line-4
2024-01-16,ORD-20240018,Orion Systems,Quality Control,EQ-008,OP-025,Type-A,112,1,2,0,Fail,Afternoon,Line-2
2024-01-16,ORD-20240019,Pacific Components,Painting,EQ-012,OP-021,Type-D,139,6,2,4,Pass,Night,Line-4
2024-01-17,ORD-20240020,Acme Corp,Quality Control,EQ-001,OP-015,Type-A,170,2,1,1,Pass,Morning,Line-3
2024-01-17,ORD-20240021,Orion Systems,Machining,EQ-011,OP-001,Type-D,168,13,1,1,Conditional,Night,Line-3
2024-01-17,ORD-20240022,Titan Works,Assembly,EQ-011,OP-012,Type-A,199,5,0,0,Fail,Afternoon,Line-4
2024-01-18,ORD-20240023,Nexus Manufacturing,Assembly,EQ-009,OP-007,Type-C,134,4,0,0,Conditional,Morning,Line-4
2024-01-18,ORD-20240024,Quantum Parts,Machining,EQ-011,OP-015,Type-C,89,3,0,0,Fail,Morning,Line-3
2024-01-19,ORD-20240025,Stellar Fabrication,Machining,EQ-009,OP-021,Type-A,126,1,2,0,Pass,Afternoon,Line-1
2024-01-19,ORD-20240026,Acme Corp,Painting,EQ-005,OP-019,Type-A,102,1,0,1,Pass,Afternoon,Line-3
2024-01-22,ORD-20240027,Acme Corp,Assembly,EQ-010,OP-025,Type-C,164,2,7,0,Pass,Afternoon,Line-3
2024-01-23,ORD-20240028,Acme Corp,Quality Control,EQ-004,OP-001,Type-D,100,0,1,0,Pass,Afternoon,Line-4
2024-01-24,ORD-20240029,Pacific Components,Welding,EQ-011,OP-017,Type-C,186,8,3,0,Conditional,Afternoon,Line-3
2024-01-25,ORD-20240031,Pacific Components,Machining,EQ-012,OP-003,Type-A,180,4,5,0,Conditional,Afternoon,Line-4
2024-01-25,ORD-20240030,Orion Systems,Welding,EQ-006,OP-017,Type-D,92,2,1,0,Pass,Morning,Line-4
2024-01-26,ORD-20240032,Orion Systems,Painting,EQ-007,OP-012,Type-A,112,12,0,4,Fail,Morning,Line-2
2024-01-26,ORD-20240033,Titan Works,Welding,EQ-005,OP-006,Type-D,103,5,2,0,Conditional,Morning,Line-3
2024-01-29,ORD-20240034,Pacific Components,Assembly,EQ-011,OP-011,Type-A,187,7,1,0,Conditional,Afternoon,Line-1
2024-01-29,ORD-20240035,Pacific Components,Machining,EQ-010,OP-003,Type-D,90,4,5,1,Pass,Afternoon,Line-2
2024-01-30,ORD-20240036,Quantum Parts,Quality Control,EQ-009,OP-008,Type-B,96,2,2,0,Conditional,Morning,Line-4
2024-01-30,ORD-20240037,Nexus Manufacturing,Machining,EQ-003,OP-014,Type-C,147,2,1,0,Pass,Afternoon,Line-4
2024-01-31,ORD-20240038,Pacific Components,Quality Control,EQ-007,OP-014,Type-B,126,8,2,0,Conditional,Afternoon,Line-1
2024-02-02,ORD-20240039,Quantum Parts,Machining,EQ-010,OP-010,Type-D,104,3,1,0,Conditional,Afternoon,Line-4
2024-02-05,ORD-20240040,Delta Industries,Machining,EQ-010,OP-002,Type-C,173,6,4,1,Conditional,Night,Line-3
2024-02-06,ORD-20240041,Nexus Manufacturing,Machining,EQ-011,OP-014,Type-D,152,1,2,1,Pass,Morning,Line-2
2024-02-07,ORD-20240042,Titan Works,Quality Control,EQ-005,OP-009,Type-C,100,2,1,1,Fail,Night,Line-4
2024-02-07,ORD-20240043,Pacific Components,Quality Control,EQ-007,OP-003,Type-C,163,7,2,0,Conditional,Afternoon,Line-4
